,iso3,loage,hiage,women,year
18681,ARG,85,89,260,2015
18682,ARG,90,94,118,2015
18683,ARG,95,99,33,2015
9721,ARM,15,19,135,1990
9722,ARM,20,24,142,1990
9723,ARM,25,29,174,1990
9724,ARM,30,34,174,1990
9725,ARM,35,39,131,1990
9726,ARM,40,44,89,1990
9727,ARM,45,49,60,1990
9728,ARM,50,54,103,1990
9729,ARM,55,59,82,1990
9730,ARM,60,64,84,1990
9731,ARM,65,69,48,1990
9732,ARM,70,74,26,1990
9733,ARM,75,79,26,1990
9734,ARM,80,84,15,1990
9738,ARM,80,NA,NA,1990
9735,ARM,85,89,8,1990
9736,ARM,90,94,2,1990
9737,ARM,95,99,1,1990
9739,ARM,15,19,133,1995
9740,ARM,20,24,111,1995
9741,ARM,25,29,115,1995
9742,ARM,30,34,149,1995
9743,ARM,35,39,152,1995
9744,ARM,40,44,114,1995
9745,ARM,45,49,75,1995
9746,ARM,50,54,51,1995
9747,ARM,55,59,95,1995
9748,ARM,60,64,72,1995
9749,ARM,65,69,74,1995
9750,ARM,70,74,40,1995
9751,ARM,75,79,20,1995
9752,ARM,80,84,17,1995
9756,ARM,80,NA,NA,1995
9753,ARM,85,89,8,1995
9754,ARM,90,94,3,1995
9755,ARM,95,99,1,1995
9757,ARM,15,19,148,2000
9758,ARM,20,24,125,2000
9759,ARM,25,29,102,2000
9760,ARM,30,34,103,2000
9761,ARM,35,39,138,2000
9762,ARM,40,44,141,2000
9763,ARM,45,49,106,2000
9764,ARM,50,54,67,2000
9765,ARM,55,59,45,2000
9766,ARM,60,64,88,2000
9767,ARM,65,69,62,2000
9768,ARM,70,74,63,2000
9769,ARM,75,79,31,2000
9770,ARM,80,84,13,2000
9774,ARM,80,NA,NA,2000
9771,ARM,85,89,10,2000
9772,ARM,90,94,3,2000
9773,ARM,95,99,1,2000
9775,ARM,15,19,153,2005
9776,ARM,20,24,139,2005
9777,ARM,25,29,116,2005
9778,ARM,30,34,97,2005
9779,ARM,35,39,100,2005
9780,ARM,40,44,129,2005
9781,ARM,45,49,131,2005
9782,ARM,50,54,96,2005
9783,ARM,55,59,65,2005
9784,ARM,60,64,42,2005
9785,ARM,65,69,80,2005
9786,ARM,70,74,51,2005
9787,ARM,75,79,46,2005
9788,ARM,80,84,17,2005
9792,ARM,80,NA,NA,2005
9789,ARM,85,89,7,2005
9790,ARM,90,94,4,2005
9791,ARM,95,99,1,2005
9793,ARM,15,19,124,2010
9794,ARM,20,24,147,2010
9795,ARM,25,29,131,2010
9796,ARM,30,34,106,2010
9797,ARM,35,39,92,2010
9798,ARM,40,44,96,2010
9799,ARM,45,49,119,2010
9800,ARM,50,54,121,2010
9801,ARM,55,59,86,2010
9802,ARM,60,64,61,2010
9803,ARM,65,69,37,2010
9804,ARM,70,74,69,2010
9805,ARM,75,79,38,2010
9806,ARM,80,84,29,2010
9810,ARM,80,NA,NA,2010
9807,ARM,85,89,10,2010
9808,ARM,90,94,3,2010
9809,ARM,95,99,1,2010
9811,ARM,15,19,85,2015
9812,ARM,20,24,123,2015
9813,ARM,25,29,142,2015
9814,ARM,30,34,130,2015
9815,ARM,35,39,105,2015
9816,ARM,40,44,90,2015
9817,ARM,45,49,94,2015
9818,ARM,50,54,117,2015
9819,ARM,55,59,117,2015
9820,ARM,60,64,81,2015
9821,ARM,65,69,56,2015
9822,ARM,70,74,32,2015
9823,ARM,75,79,54,2015
9824,ARM,80,84,26,2015
9828,ARM,80,NA,NA,2015
9825,ARM,85,89,17,2015
9826,ARM,90,94,5,2015
9827,ARM,95,99,1,2015
15877,ATG,15,19,3,1990
15878,ATG,20,24,4,1990
15879,ATG,25,29,4,1990
15880,ATG,30,34,3,1990
15881,ATG,35,39,2,1990
15882,ATG,40,44,1,1990
15883,ATG,45,49,1,1990
15884,ATG,50,54,1,1990
15885,ATG,55,59,1,1990
15886,ATG,60,64,1,1990
15887,ATG,65,69,1,1990
15888,ATG,70,74,1,1990
15889,ATG,75,79,1,1990
15890,ATG,80,84,0,1990
15894,ATG,80,NA,NA,1990
15891,ATG,85,89,0,1990
15892,ATG,90,94,0,1990
15893,ATG,95,99,0,1990
15895,ATG,15,19,3,1995
15896,ATG,20,24,3,1995
15897,ATG,25,29,4,1995
15898,ATG,30,34,4,1995
15899,ATG,35,39,3,1995
15900,ATG,40,44,2,1995
15901,ATG,45,49,2,1995
15902,ATG,50,54,1,1995
15903,ATG,55,59,1,1995
15904,ATG,60,64,1,1995
15905,ATG,65,69,1,1995
15906,ATG,70,74,1,1995
15907,ATG,75,79,1,1995
15908,ATG,80,84,1,1995
15912,ATG,80,NA,NA,1995
15909,ATG,85,89,0,1995
15910,ATG,90,94,0,1995
15911,ATG,95,99,0,1995
15913,ATG,15,19,4,2000
15914,ATG,20,24,3,2000
15915,ATG,25,29,4,2000
15916,ATG,30,34,5,2000
15917,ATG,35,39,4,2000
15918,ATG,40,44,3,2000
15919,ATG,45,49,2,2000
15920,ATG,50,54,1,2000
15921,ATG,55,59,1,2000
15922,ATG,60,64,1,2000
15923,ATG,65,69,1,2000
15924,ATG,70,74,1,2000
15925,ATG,75,79,1,2000
15926,ATG,80,84,0,2000
15930,ATG,80,NA,NA,2000
15927,ATG,85,89,0,2000
15928,ATG,90,94,0,2000
15929,ATG,95,99,0,2000
15931,ATG,15,19,4,2005
15932,ATG,20,24,4,2005
15933,ATG,25,29,3,2005
15934,ATG,30,34,4,2005
15935,ATG,35,39,5,2005
15936,ATG,40,44,3,2005
15937,ATG,45,49,3,2005
15938,ATG,50,54,2,2005
15939,ATG,55,59,1,2005
15940,ATG,60,64,1,2005
15941,ATG,65,69,1,2005
15942,ATG,70,74,1,2005
15943,ATG,75,79,1,2005
15944,ATG,80,84,1,2005
15948,ATG,80,NA,NA,2005
15945,ATG,85,89,0,2005
15946,ATG,90,94,0,2005
15947,ATG,95,99,0,2005
15949,ATG,15,19,4,2010
15950,ATG,20,24,4,2010
15951,ATG,25,29,4,2010
15952,ATG,30,34,3,2010
15953,ATG,35,39,4,2010
15954,ATG,40,44,5,2010
15955,ATG,45,49,3,2010
15956,ATG,50,54,3,2010
15957,ATG,55,59,2,2010
15958,ATG,60,64,1,2010
15959,ATG,65,69,1,2010
15960,ATG,70,74,1,2010
15961,ATG,75,79,1,2010
15962,ATG,80,84,0,2010
15966,ATG,80,NA,NA,2010
15963,ATG,85,89,0,2010
15964,ATG,90,94,0,2010
15965,ATG,95,99,0,2010
15967,ATG,15,19,4,2015
15968,ATG,20,24,4,2015
15969,ATG,25,29,4,2015
15970,ATG,30,34,4,2015
15971,ATG,35,39,3,2015
15972,ATG,40,44,4,2015
15973,ATG,45,49,5,2015
15974,ATG,50,54,3,2015
15975,ATG,55,59,3,2015
15976,ATG,60,64,2,2015
15977,ATG,65,69,1,2015
15978,ATG,70,74,1,2015
15979,ATG,75,79,1,2015
