iso3,countryname,region,super_region,year,age_group,ever_had_sex
SRB,Serbia,"Europe, Cen",2,1985,35,0.9626945
SRB,Serbia,"Europe, Cen",2,1985,40,0.9612759
SRB,Serbia,"Europe, Cen",2,1985,45,0.9884167
SRB,Serbia,"Europe, Cen",2,1986,15,0.1534419
SRB,Serbia,"Europe, Cen",2,1986,20,0.7241803
SRB,Serbia,"Europe, Cen",2,1986,25,0.8403682
SRB,Serbia,"Europe, Cen",2,1986,30,0.914362
SRB,Serbia,"Europe, Cen",2,1986,35,0.9626735
SRB,Serbia,"Europe, Cen",2,1986,40,0.9611614
SRB,Serbia,"Europe, Cen",2,1986,45,0.9883829
SRB,Serbia,"Europe, Cen",2,1987,15,0.1527756
SRB,Serbia,"Europe, Cen",2,1987,20,0.7226937
SRB,Serbia,"Europe, Cen",2,1987,25,0.8399759
SRB,Serbia,"Europe, Cen",2,1987,30,0.9146509
SRB,Serbia,"Europe, Cen",2,1987,35,0.9626293
SRB,Serbia,"Europe, Cen",2,1987,40,0.9610327
SRB,Serbia,"Europe, Cen",2,1987,45,0.9883403
SRB,Serbia,"Europe, Cen",2,1988,15,0.1522261
SRB,Serbia,"Europe, Cen",2,1988,20,0.7211932
SRB,Serbia,"Europe, Cen",2,1988,25,0.8397404
SRB,Serbia,"Europe, Cen",2,1988,30,0.9149668
SRB,Serbia,"Europe, Cen",2,1988,35,0.9626508
SRB,Serbia,"Europe, Cen",2,1988,40,0.9608721
SRB,Serbia,"Europe, Cen",2,1988,45,0.9882883
SRB,Serbia,"Europe, Cen",2,1989,15,0.1516933
SRB,Serbia,"Europe, Cen",2,1989,20,0.7196236
SRB,Serbia,"Europe, Cen",2,1989,25,0.8394957
SRB,Serbia,"Europe, Cen",2,1989,30,0.9150265
SRB,Serbia,"Europe, Cen",2,1989,35,0.9627502
SRB,Serbia,"Europe, Cen",2,1989,40,0.9607643
SRB,Serbia,"Europe, Cen",2,1989,45,0.9882337
SRB,Serbia,"Europe, Cen",2,1990,15,0.1510913
SRB,Serbia,"Europe, Cen",2,1990,20,0.7177557
SRB,Serbia,"Europe, Cen",2,1990,25,0.8395469
SRB,Serbia,"Europe, Cen",2,1990,30,0.9149595
SRB,Serbia,"Europe, Cen",2,1990,35,0.9628527
SRB,Serbia,"Europe, Cen",2,1990,40,0.9606628
SRB,Serbia,"Europe, Cen",2,1990,45,0.9881902
SRB,Serbia,"Europe, Cen",2,1991,15,0.1505446
SRB,Serbia,"Europe, Cen",2,1991,20,0.7166622
SRB,Serbia,"Europe, Cen",2,1991,25,0.8399367
SRB,Serbia,"Europe, Cen",2,1991,30,0.9152469
SRB,Serbia,"Europe, Cen",2,1991,35,0.963002
SRB,Serbia,"Europe, Cen",2,1991,40,0.9607505
SRB,Serbia,"Europe, Cen",2,1991,45,0.9881991
SRB,Serbia,"Europe, Cen",2,1992,15,0.1503485
SRB,Serbia,"Europe, Cen",2,1992,20,0.7179319
SRB,Serbia,"Europe, Cen",2,1992,25,0.8413185
SRB,Serbia,"Europe, Cen",2,1992,30,0.9163697
SRB,Serbia,"Europe, Cen",2,1992,35,0.9636189
SRB,Serbia,"Europe, Cen",2,1992,40,0.961387
SRB,Serbia,"Europe, Cen",2,1992,45,0.9883808
SRB,Serbia,"Europe, Cen",2,1993,15,0.1503659
SRB,Serbia,"Europe, Cen",2,1993,20,0.7212301
SRB,Serbia,"Europe, Cen",2,1993,25,0.8437667
SRB,Serbia,"Europe, Cen",2,1993,30,0.9180192
SRB,Serbia,"Europe, Cen",2,1993,35,0.964659
SRB,Serbia,"Europe, Cen",2,1993,40,0.9624835
SRB,Serbia,"Europe, Cen",2,1993,45,0.9887128
SRB,Serbia,"Europe, Cen",2,1994,15,0.1502498
SRB,Serbia,"Europe, Cen",2,1994,20,0.7240111
SRB,Serbia,"Europe, Cen",2,1994,25,0.8460326
SRB,Serbia,"Europe, Cen",2,1994,30,0.9195355
SRB,Serbia,"Europe, Cen",2,1994,35,0.9656748
SRB,Serbia,"Europe, Cen",2,1994,40,0.9635639
SRB,Serbia,"Europe, Cen",2,1994,45,0.989032
SRB,Serbia,"Europe, Cen",2,1995,15,0.1501606
SRB,Serbia,"Europe, Cen",2,1995,20,0.7261971
SRB,Serbia,"Europe, Cen",2,1995,25,0.8477142
SRB,Serbia,"Europe, Cen",2,1995,30,0.9209933
SRB,Serbia,"Europe, Cen",2,1995,35,0.9666392
SRB,Serbia,"Europe, Cen",2,1995,40,0.9645794
SRB,Serbia,"Europe, Cen",2,1995,45,0.9893163
SRB,Serbia,"Europe, Cen",2,1996,15,0.1528199
SRB,Serbia,"Europe, Cen",2,1996,20,0.7301869
SRB,Serbia,"Europe, Cen",2,1996,25,0.8500018
SRB,Serbia,"Europe, Cen",2,1996,30,0.9232453
SRB,Serbia,"Europe, Cen",2,1996,35,0.9677405
SRB,Serbia,"Europe, Cen",2,1996,40,0.966048
SRB,Serbia,"Europe, Cen",2,1996,45,0.989565
SRB,Serbia,"Europe, Cen",2,1997,15,0.1548377
SRB,Serbia,"Europe, Cen",2,1997,20,0.7325867
SRB,Serbia,"Europe, Cen",2,1997,25,0.8516288
SRB,Serbia,"Europe, Cen",2,1997,30,0.9251411
SRB,Serbia,"Europe, Cen",2,1997,35,0.9685721
SRB,Serbia,"Europe, Cen",2,1997,40,0.9674743
SRB,Serbia,"Europe, Cen",2,1997,45,0.9897287
SRB,Serbia,"Europe, Cen",2,1998,15,0.1562607
SRB,Serbia,"Europe, Cen",2,1998,20,0.7345058
SRB,Serbia,"Europe, Cen",2,1998,25,0.8527861
SRB,Serbia,"Europe, Cen",2,1998,30,0.9265286
SRB,Serbia,"Europe, Cen",2,1998,35,0.9691328
SRB,Serbia,"Europe, Cen",2,1998,40,0.9686791
SRB,Serbia,"Europe, Cen",2,1998,45,0.9898348
SRB,Serbia,"Europe, Cen",2,1999,15,0.1573673
SRB,Serbia,"Europe, Cen",2,1999,20,0.7374569
SRB,Serbia,"Europe, Cen",2,1999,25,0.8541152
SRB,Serbia,"Europe, Cen",2,1999,30,0.9279652
SRB,Serbia,"Europe, Cen",2,1999,35,0.9696393
SRB,Serbia,"Europe, Cen",2,1999,40,0.9697325
SRB,Serbia,"Europe, Cen",2,1999,45,0.9899523
SRB,Serbia,"Europe, Cen",2,2000,15,0.1584764
SRB,Serbia,"Europe, Cen",2,2000,20,0.7400523
SRB,Serbia,"Europe, Cen",2,2000,25,0.8547134
SRB,Serbia,"Europe, Cen",2,2000,30,0.9288335
SRB,Serbia,"Europe, Cen",2,2000,35,0.969764
SRB,Serbia,"Europe, Cen",2,2000,40,0.9703314
SRB,Serbia,"Europe, Cen",2,2000,45,0.9899553
SRB,Serbia,"Europe, Cen",2,2001,15,0.1640769
SRB,Serbia,"Europe, Cen",2,2001,20,0.746087
SRB,Serbia,"Europe, Cen",2,2001,25,0.8547121
SRB,Serbia,"Europe, Cen",2,2001,30,0.9283065
SRB,Serbia,"Europe, Cen",2,2001,35,0.9691572
SRB,Serbia,"Europe, Cen",2,2001,40,0.970235
SRB,Serbia,"Europe, Cen",2,2001,45,0.9897662
SRB,Serbia,"Europe, Cen",2,2002,15,0.1706498
SRB,Serbia,"Europe, Cen",2,2002,20,0.7528684
SRB,Serbia,"Europe, Cen",2,2002,25,0.8543255
SRB,Serbia,"Europe, Cen",2,2002,30,0.9270548
SRB,Serbia,"Europe, Cen",2,2002,35,0.9683297
SRB,Serbia,"Europe, Cen",2,2002,40,0.9698933
SRB,Serbia,"Europe, Cen",2,2002,45,0.9894933
SRB,Serbia,"Europe, Cen",2,2003,15,0.1779709
SRB,Serbia,"Europe, Cen",2,2003,20,0.7609313
SRB,Serbia,"Europe, Cen",2,2003,25,0.8547891
SRB,Serbia,"Europe, Cen",2,2003,30,0.9275801
SRB,Serbia,"Europe, Cen",2,2003,35,0.9682567
SRB,Serbia,"Europe, Cen",2,2003,40,0.9707134
SRB,Serbia,"Europe, Cen",2,2003,45,0.9892635
SRB,Serbia,"Europe, Cen",2,2004,15,0.1852261
SRB,Serbia,"Europe, Cen",2,2004,20,0.7682809
